SurgeCon Assessment  Date ,Year-Month,Site Name,SurgeCon Level,SurgeCon Score,SurgeCon Scale,Modified By
2021-09-17 14:28,2021-September,Carbonear General Hospital,3,17,0.165000007,paul.norman
2021-09-17 16:21,2021-September,Carbonear General Hospital,3,20,0.201000005,emerg.emerg
2021-09-18 8:18,2021-September,Carbonear General Hospital,2,12,0.118000001,emerg.emerg
2021-09-18 11:49,2021-September,Carbonear General Hospital,2,14,0.137999997,emerg.emerg
2021-09-18 15:50,2021-September,Carbonear General Hospital,2,11,0.111999996,paul.norman
2021-09-22 20:31,2021-September,Carbonear General Hospital,5,37,0.372500002,paul.norman
2021-09-23 20:44,2021-September,Carbonear General Hospital,3,20,0.200499997,paul.norman
2021-09-28 8:12,2021-September,Carbonear General Hospital,3,21,0.212500006,emerg.emerg
2021-09-28 11:18,2021-September,Carbonear General Hospital,4,27,0.269999981,emerg.emerg
2021-09-28 14:20,2021-September,Carbonear General Hospital,3,24,0.241999984,emerg.emerg
2021-09-28 15:43,2021-September,Carbonear General Hospital,3,24,0.241999984,emerg.emerg
2021-09-29 8:31,2021-September,Carbonear General Hospital,1,4,0.044,emerg.emerg
2021-09-29 15:17,2021-September,Carbonear General Hospital,2,10,0.096999995,emerg.emerg
2021-09-30 15:03,2021-September,Carbonear General Hospital,3,22,0.219000012,emerg.emerg
2021-09-30 18:53,2021-September,Carbonear General Hospital,2,13,0.126499996,emerg.emerg
2021-10-01 16:02,2021-October,Carbonear General Hospital,4,29,0.292999983,emerg.emerg
2021-10-01 19:52,2021-October,Carbonear General Hospital,3,23,0.228499979,emerg.emerg
2021-10-01 22:03,2021-October,Carbonear General Hospital,2,14,0.140999988,emerg.emerg
2021-10-02 10:02,2021-October,Carbonear General Hospital,3,25,0.249999985,emerg.emerg
2021-10-02 12:02,2021-October,Carbonear General Hospital,4,28,0.281999975,emerg.emerg
2021-10-02 13:34,2021-October,Carbonear General Hospital,5,37,0.370000005,emerg.emerg
2021-10-02 20:05,2021-October,Carbonear General Hospital,4,27,0.270000011,emerg.emerg
2021-10-02 21:58,2021-October,Carbonear General Hospital,3,21,0.207999989,emerg.emerg
2021-10-02 23:44,2021-October,Carbonear General Hospital,3,25,0.246000007,emerg.emerg
2021-10-03 13:02,2021-October,Carbonear General Hospital,5,34,0.338,emerg.emerg
2021-10-03 20:10,2021-October,Carbonear General Hospital,3,23,0.234499991,emerg.emerg
2021-10-03 21:57,2021-October,Carbonear General Hospital,3,20,0.195499986,emerg.emerg
2021-10-04 1:22,2021-October,Carbonear General Hospital,2,10,0.096000001,emerg.emerg
2021-10-04 9:39,2021-October,Carbonear General Hospital,4,26,0.25999999,emerg.emerg
2021-10-04 14:22,2021-October,Carbonear General Hospital,3,21,0.207000002,emerg.emerg
2021-10-05 2:24,2021-October,Carbonear General Hospital,2,9,0.088999994,emerg.emerg
2021-10-05 2:24,2021-October,Carbonear General Hospital,2,9,0.088999994,emerg.emerg
2021-10-05 11:19,2021-October,Carbonear General Hospital,5,38,0.380999982,emerg.emerg
2021-10-05 14:24,2021-October,Carbonear General Hospital,4,31,0.307500005,emerg.emerg
2021-10-05 20:56,2021-October,Carbonear General Hospital,2,16,0.162499994,emerg.emerg
2021-10-06 8:38,2021-October,Carbonear General Hospital,3,24,0.243499979,paul.norman
2021-10-06 10:09,2021-October,Carbonear General Hospital,4,30,0.296000004,paul.norman
2021-10-06 12:42,2021-October,Carbonear General Hospital,3,20,0.203000009,paul.norman
2021-10-06 14:21,2021-October,Carbonear General Hospital,3,21,0.212500021,paul.norman
2021-10-06 18:01,2021-October,Carbonear General Hospital,4,26,0.260999978,emerg.emerg
2021-10-07 9:04,2021-October,Carbonear General Hospital,2,13,0.130499989,emerg.emerg
2021-10-07 10:31,2021-October,Carbonear General Hospital,3,18,0.179499984,emerg.emerg
2021-10-07 12:10,2021-October,Carbonear General Hospital,2,15,0.151500002,emerg.emerg
2021-10-07 15:01,2021-October,Carbonear General Hospital,3,18,0.183000013,emerg.emerg
2021-10-07 16:42,2021-October,Carbonear General Hospital,3,22,0.220499992,emerg.emerg
2021-10-07 18:24,2021-October,Carbonear General Hospital,3,21,0.206500009,paul.norman
2021-10-08 8:35,2021-October,Carbonear General Hospital,2,16,0.160999998,emerg.emerg
2021-10-08 12:11,2021-October,Carbonear General Hospital,2,16,0.158999979,emerg.emerg
2021-10-08 14:45,2021-October,Carbonear General Hospital,2,10,0.100499995,emerg.emerg
2021-10-09 8:35,2021-October,Carbonear General Hospital,1,5,0.052999996,emerg.emerg
2021-10-09 13:48,2021-October,Carbonear General Hospital,3,24,0.24150002,emerg.emerg
2021-10-09 17:15,2021-October,Carbonear General Hospital,3,24,0.234999999,emerg.emerg
2021-10-10 9:06,2021-October,Carbonear General Hospital,2,9,0.087999992,emerg.emerg
2021-10-10 13:49,2021-October,Carbonear General Hospital,2,14,0.136000007,emerg.emerg
