Created,Modified,MDate,MTime,CDate,CTime,Day,Week_Day,MTime_Cat,LTime
11/10/2021 11:38,12/2/2021 12:11,12/2/2021,12.18333333,11/10/2021,11:38:37,Thursday,Week Day,Afternoon,528.5561111
12/2/2021 12:12,12/2/2021 13:18,12/2/2021,13.3,12/2/2021,12:12:00,Thursday,Week Day,Afternoon,1.104444444
12/2/2021 13:18,12/2/2021 14:11,12/2/2021,14.18333333,12/2/2021,13:18:16,Thursday,Week Day,Afternoon,0.884444444
12/2/2021 14:11,12/2/2021 14:48,12/2/2021,14.8,12/2/2021,14:11:20,Thursday,Week Day,Afternoon,0.626388889
12/2/2021 14:48,12/2/2021 18:27,12/2/2021,18.45,12/2/2021,14:48:55,Thursday,Week Day,Night,3.647222222
12/2/2021 18:27,12/3/2021 7:45,12/3/2021,7.75,12/2/2021,18:27:45,Friday,Week Day,Morning,13.29194444
12/3/2021 7:45,12/3/2021 8:33,12/3/2021,8.55,12/3/2021,7:45:16,Friday,Week Day,Morning,0.81
12/3/2021 8:33,12/3/2021 11:10,12/3/2021,11.16666667,12/3/2021,8:33:52,Friday,Week Day,Night,2.608055556
12/3/2021 11:10,12/3/2021 13:46,12/3/2021,13.76666667,12/3/2021,11:10:21,Friday,Week Day,Afternoon,2.605555556
12/3/2021 13:46,12/3/2021 13:50,12/3/2021,13.83333333,12/3/2021,13:46:41,Friday,Week Day,Afternoon,0.066111111
12/3/2021 13:50,12/3/2021 13:54,12/3/2021,13.9,12/3/2021,13:50:39,Friday,Week Day,Afternoon,0.0625
12/3/2021 13:54,12/3/2021 13:58,12/3/2021,13.96666667,12/3/2021,13:54:24,Friday,Week Day,Afternoon,0.074722222
12/3/2021 13:58,12/3/2021 16:14,12/3/2021,16.23333333,12/3/2021,13:58:53,Friday,Week Day,Afternoon,2.261111111
12/3/2021 16:14,12/3/2021 21:30,12/3/2021,21.5,12/3/2021,16:14:33,Friday,Week Day,Evening,5.263055556
12/3/2021 21:30,12/3/2021 21:33,12/3/2021,21.55,12/3/2021,21:30:20,Friday,Week Day,Evening,0.056944444
12/3/2021 21:33,12/4/2021 9:08,12/4/2021,9.133333333,12/3/2021,21:33:45,Saturday,Weekend,Morning,11.57333333
12/4/2021 9:08,12/4/2021 11:58,12/4/2021,11.96666667,12/4/2021,9:08:09,Saturday,Weekend,Night,2.84
12/4/2021 11:58,12/4/2021 17:26,12/4/2021,17.43333333,12/4/2021,11:58:33,Saturday,Weekend,Afternoon,5.464166667
12/4/2021 17:26,12/4/2021 17:27,12/4/2021,17.45,12/4/2021,17:26:25,Saturday,Weekend,Afternoon,0.012777778
12/4/2021 17:27,12/4/2021 18:19,12/4/2021,18.31666667,12/4/2021,17:27:11,Saturday,Weekend,Night,0.879722222
12/4/2021 18:19,12/4/2021 21:30,12/4/2021,21.5,12/4/2021,18:19:58,Saturday,Weekend,Evening,3.175833333
12/4/2021 21:30,12/5/2021 6:39,12/5/2021,6.65,12/4/2021,21:30:31,Sunday,Weekend,Morning,9.154444444
12/5/2021 6:39,12/5/2021 12:05,12/5/2021,12.08333333,12/5/2021,6:39:47,Sunday,Weekend,Afternoon,5.423611111
12/5/2021 12:05,12/5/2021 12:35,12/5/2021,12.58333333,12/5/2021,12:05:12,Sunday,Weekend,Afternoon,0.504722222
12/5/2021 12:35,12/5/2021 22:43,12/5/2021,22.71666667,12/5/2021,12:35:29,Sunday,Weekend,Evening,10.13
12/5/2021 22:43,12/5/2021 22:48,12/5/2021,22.8,12/5/2021,22:43:17,Sunday,Weekend,Evening,0.09
12/5/2021 22:48,12/6/2021 8:32,12/6/2021,8.533333333,12/5/2021,22:48:41,Monday,Week Day,Morning,9.724444444
12/6/2021 8:32,12/6/2021 11:24,12/6/2021,11.4,12/6/2021,8:32:09,Monday,Week Day,Night,2.874444444
12/6/2021 11:24,12/6/2021 11:25,12/6/2021,11.41666667,12/6/2021,11:24:38,Monday,Week Day,Night,0.011388889
