SurgeCon Assessment  Date / Time,Year-Month,Site Name,SurgeCon Level,SurgeCon Score,SurgeCon Scale,Modified By
2021-12-02 12:12:00,2021-December,Dr. G. B. Cross Memorial Hospital,2,11,0.106269233,gbc.emerge
2021-12-02 13:18:16,2021-December,Dr. G. B. Cross Memorial Hospital,2,12,0.116769239,gbc.emerge
2021-12-02 14:11:21,2021-December,Dr. G. B. Cross Memorial Hospital,2,12,0.116923086,gbc.emerge
2021-12-02 14:48:55,2021-December,Dr. G. B. Cross Memorial Hospital,2,12,0.116923086,darlenea.smith
2021-12-02 18:27:46,2021-December,Dr. G. B. Cross Memorial Hospital,3,21,0.205615386,darlenea.smith
2021-12-03 07:45:17,2021-December,Dr. G. B. Cross Memorial Hospital,1,7,0.068461545,gbc.emerge
2021-12-03 08:33:53,2021-December,Dr. G. B. Cross Memorial Hospital,1,7,0.068461545,gbc.emerge
2021-12-03 11:10:22,2021-December,Dr. G. B. Cross Memorial Hospital,3,21,0.206423104,gbc.emerge
2021-12-03 13:46:42,2021-December,Dr. G. B. Cross Memorial Hospital,3,21,0.206423104,gbc.emerge
2021-12-03 13:50:39,2021-December,Dr. G. B. Cross Memorial Hospital,3,21,0.206423104,gbc.emerge
2021-12-03 13:54:25,2021-December,Dr. G. B. Cross Memorial Hospital,3,21,0.206423104,gbc.emerge
2021-12-03 13:58:53,2021-December,Dr. G. B. Cross Memorial Hospital,3,21,0.206423104,gbc.emerge
2021-12-03 16:14:33,2021-December,Dr. G. B. Cross Memorial Hospital,3,21,0.206423104,gbc.emerge
2021-12-03 21:30:21,2021-December,Dr. G. B. Cross Memorial Hospital,3,21,0.206423104,gbc.emerge
2021-12-03 21:33:46,2021-December,Dr. G. B. Cross Memorial Hospital,3,21,0.206423104,gbc.emerge
2021-12-04 09:08:10,2021-December,Dr. G. B. Cross Memorial Hospital,2,12,0.118769228,gbc.emerge
2021-12-04 11:58:33,2021-December,Dr. G. B. Cross Memorial Hospital,2,12,0.118769228,gbc.emerge
2021-12-04 17:26:25,2021-December,Dr. G. B. Cross Memorial Hospital,2,11,0.113923073,gbc.emerge
2021-12-04 17:27:11,2021-December,Dr. G. B. Cross Memorial Hospital,2,11,0.113923073,gbc.emerge
2021-12-04 18:19:59,2021-December,Dr. G. B. Cross Memorial Hospital,1,7,0.073769234,gbc.emerge
2021-12-04 21:30:31,2021-December,Dr. G. B. Cross Memorial Hospital,1,3,0.031307694,gbc.emerge
2021-12-05 06:39:47,2021-December,Dr. G. B. Cross Memorial Hospital,1,3,0.031307694,gbc.emerge
2021-12-05 12:05:12,2021-December,Dr. G. B. Cross Memorial Hospital,1,3,0.031307694,gbc.emerge
2021-12-05 12:35:30,2021-December,Dr. G. B. Cross Memorial Hospital,1,3,0.031307694,gbc.emerge
2021-12-05 22:43:18,2021-December,Dr. G. B. Cross Memorial Hospital,1,3,0.031307694,gbc.emerge
2021-12-05 22:48:42,2021-December,Dr. G. B. Cross Memorial Hospital,1,3,0.031307694,gbc.emerge
2021-12-06 08:32:10,2021-December,Dr. G. B. Cross Memorial Hospital,1,4,0.035307694,gbc.emerge
2021-12-06 11:24:38,2021-December,Dr. G. B. Cross Memorial Hospital,2,12,0.116230763,gbc.emerge
2021-12-06 11:25:20,2021-December,Dr. G. B. Cross Memorial Hospital,2,12,0.116230763,gbc.emerge
2021-12-06 12:34:41,2021-December,Dr. G. B. Cross Memorial Hospital,3,22,0.215230763,gbc.emerge
2021-12-06 12:35:00,2021-December,Dr. G. B. Cross Memorial Hospital,3,22,0.215230763,gbc.emerge
2021-12-06 14:03:42,2021-December,Dr. G. B. Cross Memorial Hospital,4,32,0.32107693,gbc.emerge
2021-12-06 16:29:33,2021-December,Dr. G. B. Cross Memorial Hospital,4,29,0.289330781,gbc.emerge
2021-12-06 16:29:58,2021-December,Dr. G. B. Cross Memorial Hospital,4,29,0.289330781,gbc.emerge
2021-12-06 17:05:04,2021-December,Dr. G. B. Cross Memorial Hospital,3,25,0.24673079,gbc.emerge
2021-12-06 17:05:18,2021-December,Dr. G. B. Cross Memorial Hospital,3,25,0.24673079,gbc.emerge
2021-12-06 21:08:01,2021-December,Dr. G. B. Cross Memorial Hospital,3,23,0.230076924,gbc.emerge
2021-12-06 21:08:43,2021-December,Dr. G. B. Cross Memorial Hospital,3,20,0.200076923,gbc.emerge
2021-12-07 00:02:39,2021-December,Dr. G. B. Cross Memorial Hospital,1,8,0.084115393,gbc.emerge
2021-12-07 08:09:03,2021-December,Dr. G. B. Cross Memorial Hospital,1,5,0.046653844,gbc.emerge
2021-12-07 08:10:39,2021-December,Dr. G. B. Cross Memorial Hospital,1,5,0.046653844,gbc.emerge
2021-12-07 09:30:47,2021-December,Dr. G. B. Cross Memorial Hospital,2,10,0.103269234,gbc.emerge
2021-12-07 11:29:15,2021-December,Dr. G. B. Cross Memorial Hospital,1,6,0.057807695,gbc.emerge
2021-12-07 13:59:19,2021-December,Dr. G. B. Cross Memorial Hospital,1,5,0.047769234,gbc.emerge
2021-12-07 13:59:37,2021-December,Dr. G. B. Cross Memorial Hospital,1,5,0.047769234,gbc.emerge
2021-12-07 15:44:55,2021-December,Dr. G. B. Cross Memorial Hospital,1,7,0.072076924,gbc.emerge
2021-12-08 08:34:15,2021-December,Dr. G. B. Cross Memorial Hospital,1,8,0.079615384,gbc.emerge
2021-12-08 10:47:11,2021-December,Dr. G. B. Cross Memorial Hospital,1,7,0.073615387,gbc.emerge
2021-12-08 10:47:30,2021-December,Dr. G. B. Cross Memorial Hospital,1,7,0.073615387,gbc.emerge
2021-12-08 14:18:37,2021-December,Dr. G. B. Cross Memorial Hospital,2,10,0.095923074,gbc.emerge
2021-12-08 14:18:57,2021-December,Dr. G. B. Cross Memorial Hospital,2,10,0.095923074,gbc.emerge
2021-12-09 08:13:19,2021-December,Dr. G. B. Cross Memorial Hospital,2,15,0.148423076,gbc.emerge
2021-12-09 10:28:44,2021-December,Dr. G. B. Cross Memorial Hospital,3,22,0.219923094,gbc.emerge
2021-12-09 10:29:10,2021-December,Dr. G. B. Cross Memorial Hospital,3,22,0.219923094,gbc.emerge
2021-12-09 12:25:19,2021-December,Dr. G. B. Cross Memorial Hospital,3,17,0.168269232,gbc.emerge
2021-12-09 13:41:25,2021-December,Dr. G. B. Cross Memorial Hospital,2,12,0.116461545,gbc.emerge
2021-12-09 16:06:55,2021-December,Dr. G. B. Cross Memorial Hospital,2,13,0.127115384,gbc.emerge
2021-12-09 16:07:16,2021-December,Dr. G. B. Cross Memorial Hospital,2,13,0.127115384,gbc.emerge
2021-12-09 18:37:24,2021-December,Dr. G. B. Cross Memorial Hospital,1,5,0.051153846,gbc.emerge
2021-12-09 21:34:30,2021-December,Dr. G. B. Cross Memorial Hospital,1,5,0.048461542,gbc.emerge
2021-12-10 04:25:04,2021-December,Dr. G. B. Cross Memorial Hospital,2,9,0.089923076,gbc.emerge
2021-12-10 06:56:18,2021-December,Dr. G. B. Cross Memorial Hospital,2,11,0.108230762,gbc.emerge
2021-12-10 07:06:47,2021-December,Dr. G. B. Cross Memorial Hospital,2,11,0.114230767,gbc.emerge
2021-12-10 10:12:59,2021-December,Dr. G. B. Cross Memorial Hospital,2,15,0.152076915,gbc.emerge
2021-12-10 10:13:32,2021-December,Dr. G. B. Cross Memorial Hospital,2,15,0.152076915,gbc.emerge
2021-12-10 11:51:55,2021-December,Dr. G. B. Cross Memorial Hospital,4,27,0.272230774,gbc.emerge
2021-12-10 13:12:38,2021-December,Dr. G. B. Cross Memorial Hospital,5,34,0.341538459,gbc.emerge
2021-12-10 15:21:22,2021-December,Dr. G. B. Cross Memorial Hospital,4,28,0.280076921,gbc.emerge
2021-12-10 17:12:59,2021-December,Dr. G. B. Cross Memorial Hospital,3,18,0.184423089,gbc.emerge
2021-12-10 22:55:49,2021-December,Dr. G. B. Cross Memorial Hospital,3,24,0.241884619,gbc.emerge
2021-12-11 00:22:41,2021-December,Dr. G. B. Cross Memorial Hospital,3,18,0.183830783,gbc.emerge
2021-12-11 02:47:17,2021-December,Dr. G. B. Cross Memorial Hospital,2,11,0.114523076,gbc.emerge
2021-12-11 07:53:29,2021-December,Dr. G. B. Cross Memorial Hospital,2,11,0.105215378,gbc.emerge
2021-12-11 07:54:01,2021-December,Dr. G. B. Cross Memorial Hospital,2,11,0.105215378,gbc.emerge
2021-12-11 10:52:55,2021-December,Dr. G. B. Cross Memorial Hospital,3,19,0.186730772,gbc.emerge
2021-12-11 14:26:24,2021-December,Dr. G. B. Cross Memorial Hospital,3,19,0.187923074,gbc.emerge
2021-12-11 21:34:12,2021-December,Dr. G. B. Cross Memorial Hospital,3,18,0.179830775,gbc.emerge
2021-12-12 00:08:23,2021-December,Dr. G. B. Cross Memorial Hospital,3,23,0.227369234,gbc.emerge
2021-12-12 01:41:14,2021-December,Dr. G. B. Cross Memorial Hospital,2,9,0.08775384,gbc.emerge
2021-12-12 08:33:12,2021-December,Dr. G. B. Cross Memorial Hospital,3,17,0.167523086,gbc.emerge
2021-12-12 13:26:37,2021-December,Dr. G. B. Cross Memorial Hospital,3,22,0.221830785,gbc.emerge
2021-12-12 15:43:20,2021-December,Dr. G. B. Cross Memorial Hospital,3,17,0.171676919,gbc.emerge
2021-12-13 08:33:19,2021-December,Dr. G. B. Cross Memorial Hospital,1,8,0.081076927,gbc.emerge
2021-12-13 11:49:03,2021-December,Dr. G. B. Cross Memorial Hospital,2,12,0.120076925,gbc.emerge
2021-12-13 14:54:33,2021-December,Dr. G. B. Cross Memorial Hospital,2,12,0.117076918,gbc.emerge
2021-12-13 19:25:19,2021-December,Dr. G. B. Cross Memorial Hospital,3,20,0.203230768,gbc.emerge
2021-12-13 22:54:48,2021-December,Dr. G. B. Cross Memorial Hospital,2,13,0.133615389,gbc.emerge
2021-12-14 00:57:00,2021-December,Dr. G. B. Cross Memorial Hospital,1,8,0.083923079,gbc.emerge
2021-12-14 02:52:08,2021-December,Dr. G. B. Cross Memorial Hospital,1,7,0.07176923,gbc.emerge
2021-12-14 06:56:16,2021-December,Dr. G. B. Cross Memorial Hospital,1,7,0.07176923,gbc.emerge
2021-12-14 06:58:44,2021-December,Dr. G. B. Cross Memorial Hospital,1,7,0.07176923,gbc.emerge
2021-12-14 08:24:36,2021-December,Dr. G. B. Cross Memorial Hospital,1,7,0.07176923,gbc.emerge
2021-12-14 10:20:50,2021-December,Dr. G. B. Cross Memorial Hospital,3,25,0.24503845,gbc.emerge
2021-12-14 12:47:44,2021-December,Dr. G. B. Cross Memorial Hospital,3,24,0.240230769,gbc.emerge
