SurgeCon Assessment  Date / Time,Year-Month,Site Name,SurgeCon Level,SurgeCon Score,SurgeCon Scale,Modified By
2022-11-22 09:28:53,2022-November,Health Sciences Centre,2,13,0.127250001,hsc.emerge
2022-11-22 11:38:45,2022-November,Health Sciences Centre,2,14,0.139041677,hsc.emerge
2022-11-22 16:32:36,2022-November,Health Sciences Centre,4,26,0.25575,hsc.emerge
2022-11-23 10:32:32,2022-November,Health Sciences Centre,3,23,0.233666644,hsc.emerge
2022-11-23 12:47:33,2022-November,Health Sciences Centre,3,23,0.22724998,hsc.emerge
2022-11-23 16:05:16,2022-November,Health Sciences Centre,4,30,0.301750004,robert.coffin
2022-11-23 23:06:39,2022-November,Health Sciences Centre,4,30,0.302625,hsc.emerge
2022-11-23 23:45:52,2022-November,Health Sciences Centre,4,31,0.313708335,hsc.emerge
2022-11-24 04:54:14,2022-November,Health Sciences Centre,3,19,0.187125012,hsc.emerge
2022-11-24 08:49:58,2022-November,Health Sciences Centre,3,18,0.175208345,hsc.emerge
2022-11-24 09:54:23,2022-November,Health Sciences Centre,3,20,0.200208336,hsc.emerge
2022-11-24 09:54:41,2022-November,Health Sciences Centre,4,28,0.280208349,hsc.emerge
2022-11-24 13:03:41,2022-November,Health Sciences Centre,4,28,0.281958342,hsc.emerge
2022-11-24 19:05:46,2022-November,Health Sciences Centre,3,25,0.248624995,hsc.emerge
2022-11-25 09:53:06,2022-November,Health Sciences Centre,3,23,0.227958336,hsc.emerge
2022-11-25 15:42:29,2022-November,Health Sciences Centre,3,25,0.247125,hsc.emerge
2022-11-26 08:44:40,2022-November,Health Sciences Centre,4,33,0.329624981,hsc.emerge
2022-11-26 19:09:02,2022-November,Health Sciences Centre,3,25,0.246750012,hsc.emerge
2022-11-27 14:30:08,2022-November,Health Sciences Centre,4,29,0.287874997,hsc.emerge
2022-11-28 08:36:28,2022-November,Health Sciences Centre,5,39,0.393833339,hsc.emerge
2022-11-28 11:46:11,2022-November,Health Sciences Centre,5,41,0.412583351,robert.coffin
2022-11-28 16:02:16,2022-November,Health Sciences Centre,5,47,0.466583341,robert.coffin
2022-11-28 20:52:23,2022-November,Health Sciences Centre,5,45,0.45462501,hsc.emerge
2022-11-29 01:54:25,2022-November,Health Sciences Centre,4,30,0.299625009,hsc.emerge
2022-11-29 06:36:24,2022-November,Health Sciences Centre,2,13,0.132375002,hsc.emerge
2022-11-29 10:51:59,2022-November,Health Sciences Centre,3,20,0.202250004,hsc.emerge
2022-11-29 13:29:01,2022-November,Health Sciences Centre,4,26,0.255541652,hsc.emerge
2022-11-29 16:50:26,2022-November,Health Sciences Centre,5,35,0.348416686,robert.coffin
2022-11-29 19:05:19,2022-November,Health Sciences Centre,5,35,0.348375022,hsc.emerge
2022-11-30 00:29:39,2022-November,Health Sciences Centre,4,29,0.289791673,hsc.emerge
2022-11-30 06:44:16,2022-November,Health Sciences Centre,3,25,0.249500006,hsc.emerge
2022-11-30 07:57:37,2022-November,Health Sciences Centre,3,18,0.179500014,hsc.emerge
2022-11-30 11:34:24,2022-November,Health Sciences Centre,4,29,0.286333323,robert.coffin
2022-11-30 16:27:17,2022-November,Health Sciences Centre,5,40,0.401124984,robert.coffin
2022-12-01 07:57:52,2022-December,Health Sciences Centre,2,12,0.117541663,hsc.emerge
2022-12-01 15:19:48,2022-December,Health Sciences Centre,3,22,0.224041671,robert.coffin
2022-12-02 07:42:53,2022-December,Health Sciences Centre,4,29,0.289541662,hsc.emerge
2022-12-02 13:10:30,2022-December,Health Sciences Centre,3,23,0.232374996,hsc.emerge
2022-12-02 17:48:22,2022-December,Health Sciences Centre,4,27,0.266166687,hsc.emerge
2022-12-02 21:50:10,2022-December,Health Sciences Centre,5,49,0.49425,hsc.emerge
2022-12-03 06:37:41,2022-December,Health Sciences Centre,4,26,0.259958327,hsc.emerge
2022-12-03 09:12:23,2022-December,Health Sciences Centre,2,16,0.15504168,hsc.emerge
2022-12-03 14:43:41,2022-December,Health Sciences Centre,5,35,0.345166653,hsc.emerge
2022-12-04 02:41:05,2022-December,Health Sciences Centre,5,39,0.393166661,hsc.emerge
2022-12-04 08:41:26,2022-December,Health Sciences Centre,4,30,0.295624971,hsc.emerge
2022-12-04 15:37:22,2022-December,Health Sciences Centre,4,27,0.266416669,hsc.emerge
2022-12-04 18:01:21,2022-December,Health Sciences Centre,4,30,0.297041655,hsc.emerge
2022-12-04 20:59:57,2022-December,Health Sciences Centre,4,29,0.29354167,hsc.emerge
2022-12-05 06:17:00,2022-December,Health Sciences Centre,4,33,0.332666665,hsc.emerge
2022-12-05 15:07:41,2022-December,Health Sciences Centre,5,44,0.439666659,hsc.emerge
