SurgeCon Assessment  Date / Time,Year-Month,Site Name,SurgeCon Level,SurgeCon Score,SurgeCon Scale,Modified By
2022-04-04 16:23:57,2022-April,St. Clare's Mercy Hospital,1,8,0.079999998,amanda.aylward
2022-04-04 16:24:57,2022-April,St. Clare's Mercy Hospital,3,17,0.165083349,amanda.aylward
2022-04-25 09:54:11,2022-April,St. Clare's Mercy Hospital,2,10,0.101733342,michelle.crewe
2022-06-01 12:14:13,2022-June,St. Clare's Mercy Hospital,2,10,0.101733342,amanda.aylward
2022-06-01 15:14:08,2022-June,St. Clare's Mercy Hospital,4,32,0.320849985,april.butt
2022-06-01 18:35:40,2022-June,St. Clare's Mercy Hospital,3,21,0.210783333,amanda.aylward
2022-06-06 08:49:26,2022-June,St. Clare's Mercy Hospital,3,22,0.215150014,april.butt
2022-06-06 14:20:49,2022-June,St. Clare's Mercy Hospital,5,35,0.347799987,april.butt
2022-06-06 19:27:14,2022-June,St. Clare's Mercy Hospital,4,32,0.319250017,april.butt
2022-06-07 10:16:44,2022-June,St. Clare's Mercy Hospital,4,33,0.33099997,april.butt
2022-06-10 09:56:03,2022-June,St. Clare's Mercy Hospital,2,14,0.1417,april.butt
2022-06-10 13:56:51,2022-June,St. Clare's Mercy Hospital,3,25,0.245250016,april.butt
2022-06-11 17:52:14,2022-June,St. Clare's Mercy Hospital,3,24,0.237200007,april.butt
2022-06-12 11:30:16,2022-June,St. Clare's Mercy Hospital,3,25,0.248000011,april.butt
2022-06-12 17:12:02,2022-June,St. Clare's Mercy Hospital,3,21,0.212550014,april.butt
2022-06-15 09:05:25,2022-June,St. Clare's Mercy Hospital,2,15,0.151700005,april.butt
2022-06-15 14:54:00,2022-June,St. Clare's Mercy Hospital,4,27,0.270733356,april.butt
2022-06-16 12:09:56,2022-June,St. Clare's Mercy Hospital,2,14,0.137433335,april.butt
2022-06-16 18:20:57,2022-June,St. Clare's Mercy Hospital,3,21,0.212750003,april.butt
2022-06-20 10:06:00,2022-June,St. Clare's Mercy Hospital,2,12,0.120483331,april.butt
2022-06-20 14:24:12,2022-June,St. Clare's Mercy Hospital,4,29,0.291583329,april.butt
2022-06-21 09:04:39,2022-June,St. Clare's Mercy Hospital,2,9,0.0942,april.butt
2022-06-21 13:51:59,2022-June,St. Clare's Mercy Hospital,2,15,0.151383325,april.butt
2022-06-24 08:38:38,2022-June,St. Clare's Mercy Hospital,5,35,0.350149989,april.butt
2022-06-29 16:53:56,2022-June,St. Clare's Mercy Hospital,4,32,0.315300018,april.butt
2022-06-30 08:43:03,2022-June,St. Clare's Mercy Hospital,3,23,0.229900002,april.butt
2022-06-30 17:30:29,2022-June,St. Clare's Mercy Hospital,4,29,0.285149992,april.butt
2022-07-09 13:47:29,2022-July,St. Clare's Mercy Hospital,2,16,0.15535,april.butt
2022-07-13 08:47:39,2022-July,St. Clare's Mercy Hospital,2,11,0.108933337,april.butt
2022-07-13 14:44:51,2022-July,St. Clare's Mercy Hospital,3,25,0.248916671,april.butt
2022-07-14 08:55:23,2022-July,St. Clare's Mercy Hospital,2,15,0.153799996,april.butt
